text,class
"@LabinJoaquin Como será que piensa con el culo y que en ningún momento hablé de toda la lista (la cual tiene en general demandas legítimas). Hable de 34 flaites.

34
Treinta y cuatro",0
"Qué bueno que no me gusta ese deporte de simios de 11 flaites corriendo detrás de una pelota, odio a PerKing  😍 ✨👌",0
"@pesadillitas @careperro2_0 Flaites auspiciados por el PC, a quienes hicieron pasar por “independientes” para agarrar los votos de quienes no querían votar por partidos.",0
"@clabarra01 @MarcoFloresRiv1 Los ""flaites"" desperdician los mejores años de su vida bebiendo cerveza con asiduidad, en vez de estudiar o trabajar intensamente; a esa edad la energía sobra. Y luego cuando se topan de frente con el fracaso o la miseria, culpan a los ricos. No reconocen sus propias elecciones.",0
"Hace 20 minutos aproximadamente 4 pendejos flaites, todos con pistolas, intentaron asaltarme nuevamente… logré arrancar. Debemos comenzar a portar armas? De qué manera podemos andar seguros? @min_interior @GalliJF @katymartorell",0
@jano_veronica @noytumama Esto es igual de patetico q los viejos que quieren hablar como flaites y dicen “shigua loco”,0
"@DraMLCordero @MarcoFloresRiv1 Se da cuenta el nivel de flaites y rotos que existen Dra.??
seguro que este picante es nini. mantenido por su pobre abuela que le financia las chelas y los pitos.
No lo pesque, tiene severo daño este idiota.",0
@CEspinozaQ @eljanovega @Cooperativa Automovilistas = flaites?,0
"Flaites qls!

Y pa’ que no lloren, me acordé de la primera funa que le hizo el hermano a la Kel Calderon. El weón muy cuico pero escribía como el hoyo!",0
@BetyNayan A los pobres sinverguenzas !! Hay gente de clase media que aún así abona por sus deudas esta gente es fresca care raja así de corta,0
"@pbaltierrat Q dificil es encontrar un gil q argumente sin sacar la tula en tu sector. Ya sabemos como terminó la aventura revolucionaria, para q darle mas vueltas al temita.",0
"@RicardoOrtizMJI @AlessandriFelip Que vote apruebo de nuevo... le pasó por gil, igual que Piñera.",0
"@MarcelinMarshal @anita40511035 @bacigalupe El gil pa huevón, solo te da para repetir lo que escuchas.",0
"Niño de 4 años app vecino de mi mamá "" oye poh Gil culiao te estoy llamando baja"" 
Así quede 😦
(Y mi mamá me dice que dice hueas peores 😱) 

Y para mi hija un garabato es decir ""estúpida"" https://t.co/H8G1k439M5",0
@ValenzuelaGeor5 @Naty_Patriota Es una pobre gil @karina_ol,0
"@Cconmemoria @UWeones @ksnegrita @Dieg0_schalper Creo que el término acuñado ahí sería ""vídeo copias"" o ""fotovideos""... Que impresionante como este gil innova hasta en esto. 
Un wn con compromiso.",0
"@latercera Y a quién saca, a Pulgar, Aranguis, Vidal. 6 meses buenos en la liga chilena es muy poco para la selección, sin jugar ninguna copa  a nivel internacional.",0
"Ojala le hubieran tirado 20 por gil
Esa, wea no se hace https://t.co/O7F6lRrD5X",0
"@secosdelVAR @radiousach #SecosNominados
No se que hace Baeza.
Falto Gil y Mendez
Es cuático Lasarte.
Saludos y a fondearse.
Curicó también está en cuarentena?
@riquelmeclaudio",0
"MUY BUEN DESAFÍO. ME HIZO PENSAR. VA EL MIO ⬇️
Aceval
Barrios 
Costa 
Díaz 
Escuti
Figueroa 
Gil 
Henríquez 
Inostroza 
Jiménez 
Dabrowski (contiene K)
Leal 
Muñoz 
Neculñir
Yañez (contiene Ñ)
Opazo 
Perez 
Quiroga 
Ramos
Soto 
Torres 
Ubeda 
Vidal 
Wirth
X NO HAY**
Yates 
Zuñiga https://t.co/9IrZq1ImBA",0
#labatallafinalmv pensaba que orrego iba a defender a piñera... mala tu pauta karina oliva... te disparate en los pies por gil.,0
"@Demiak @juanpabloswett @GiorgioJackson @gabrielboric Jackson se reinventaría con un cine seguramente, así de gil. ¿Llegar con ayudas a Pymes que cerraron? La plata no sale de los árboles. Un niño de 10 años lo entiende. El gran universo está en las que la siguen peleando.",0
"Hola, creo que faltaron Allende, Araos, Gil y Zacarias López. Me sobran Baeza, Pinares, Castellón y Maripan ⚽🇨🇱 #espnf90chile",0
"Microciclos: Del Bielsa/Sanhueza al Lasarte/Gil

https://t.co/XIkCfj1K2e",0
@LaRoja @GrupoWurtlitzer Gil es mucho más jugador que marcelino nuñes,0
@dLiRio jaja también! absolutamente gil el tipo!,0
"@dLiRio siento que cualquier mensaje queda invalidado si el gil que lo escribe muestra cierto ""lujo"" (corbatas, autos, teléfono)",0
"y lo último respecto a la nómina: saavedra, victor mendez o gil &gt;&gt;&gt; el malo ql de pablo galdames",0
"@TodoEsCanchaOK @LaRoja @CopaAmerica Enzo Roco, ex andia... no puede estar ni en una nominacion al luche po wn que weon mas malo... maripan fuera, me falto el Colo Gil y Rojas ademas de Cortés, no puede ser mas Castellon que el...",0
"@LaRoja Enzo Roco, ex andia... no puede estar ni en una nominacion al luche po wn que weon mas malo... maripan fuera, me falto el Colo Gil y Rojas ademas de Cortés, no puede ser mas Castellon que el...",0
"Si fuera por mi.
Fuera: Castellón, Galdames, Baeza, Vegas, Pinares y Arriagada.
Adentro: Zacarías, Méndez, Gil (Saavedra), Wiemberg, Dávila y Valencia (Larrondo) por decir algunos.
Hay mucho más, lo que nos urge es creatividad y finiquito y creo que por ahí se debía privilegiar.",0
"Ahora, también me habría gustado ver a Araos, Allende, Nico Díaz, Dávila, Zacarías, Méndez, Gil... Pero bueno, no pueden ser todos.

Quizás habría dejado afuera a Vargas, para ""arriesgar"" con otro 9, que es lo que más nos urge. 

No es mala nómina, creo, pero tampoco me llena.",0
"Bueno, inexplicable que no estén Victor Felipe Méndez y Leo Gil.",0
@AgusalboM @rodden33nba @Niklas58899516 @LaRoja Ni un brillo Gil,0
"Bueno, igual es bueno que Luciando Arriagada tenga esta oportunidad en la selección… le va a servir, se puede  nutrir mucho, de igual forma, prefería verlo en Copa Chile.. y el nominado sin discusión era Leo Gil, Jeyson Rojas y Cortes..",0
"Tanto tonto weon diciendo ""Paris tiene las 2 dosis de vacuna sinovac y se enfermó igual, por eso no me vacuno"", GIL, QUIZÁS TE ENFERMES  CON LAS 2 DOSIS DE LA VACUNA PERO NO TE MATARÁ Y ES MUY PROBABLE Q NO VAYAS AL HOSPITAL, SOWEA!!! VAGUNENSE IGUAL POR LA CHUCHA. Gracias.",0
Y xq no Leo Gil x la rechucha !!!!!,0
@LaRoja Castellón x sobre Cortés y no va Gil ni Rojas? 🤡,0
@Cazador07859559 @TV_DanielS @meganoticiascl Anda a revisarte te voy a bloquear por gil ... chaito!,0
"@rockandpop @GaboTuitero @ivanguerrerom @elwerne #UnPaísGeneroso 
gabriel
Estas señora me gusto.
esta chora...como explica porque hay que ser gil para no vacunarse.
@Andrilios @paulochile @ThiemeValeria  @PeluMunozR @KanutoPecador  @Pautronco @ArielBits @lapao_litta @Sue_Golightly @robertorfebre @JacobiyoGSM @guirguil123 https://t.co/WoHvYdutIu",0
"@MatiasCruz9 Leo Gil - ver
Maripan - ni en pintura",0
"@rodrigosepu Gil , payaso y pintamonos!!! No aprendiste nada con Bonvallet",0
@rmunozcheuque @PcLasCondes @RebecaGaeteS @NathalySeplved3 @ANAMARIAOL @WalterVogelE @PCRegCapital @Jotoso_DiegoG @ZunigaSepu @PCdeChile @JotaLasCondes Toma gil. Se te cayó esto. https://t.co/0PpicACYSx,0
"@_pipegado U: Andia
CC: Rojas, Gil
UC: Saavedra, Marcelino, Montes y Valencia
UE: Méndez
Calera: Simón, Jeisson
Wanderers: González y Retamal
O'Higgins: Alarcon
Palestino: Piña y Mago",0
"Fútbol ficción: lista mixta para la Copa.
ARQ: Arias, Cortés, Castellón
DF: Andía, Rojas, Sierralta, Kuscevic, Vegas, Nico Díaz, Mena, Wiemberg
VOL: Gil, Vidal, Galdames, Alarcón, Araos, Baeza, Leiva, Marcelino, Pinares
DEL: Palacios, Brerenton, Valencia, Montes, Meneses, Mora.",0
"@rodrigosepu Soy cruzado pero nicagando justifico el cagaso de Maripan, sabe que debe llevar los brazos pegados al cuerpo, en esto hay que ser vivo, te estai jugando una clasificación y te mandai 2 penales en los 2 partidos, no wei..que se la coma nomas y que aprenda por gil",0
"Y lo hizo nuevamente maripan ,por culpa de este gil ,otro penal#VamosChile",0
Que te pasa gil qlo! https://t.co/R81pIdmJ0F,0
QUE LE PEGAI AL CHARLES GIL CONCHETUMARE #PartyChilensisFtLaRoja,0
"@rad_jar Igual más allá de todo,
no estará de más que Memo haciendo
un buen partido y un gol ojalá tmb
le hace automáticamente corchete
en la boca de tanto gil q lo ha basureado.
Obvio, el jugador no juega para eso
pero si de pasada tapa malas bocas,
bienvenido sea para él",0
Exiten seres miserables y los del desgobierno. https://t.co/tPUxK3urXa,0
"Económicamente no conoce mucho (o se hace el Gil), pero las mentiras que dice son las mismas de la izquierda chilena.
Esta empresa es mala porque no piensa en el bien común, traigamos el modelo de &lt;nombran cualquier país exitoso&gt;, etc https://t.co/AQThAOqXpI",0
@vickenciaaa Siiii está obsesioná de partida con luismi porque dejó como a 5 😂 no vi cuando el gil del Antonio dijo eso pero es tan inconsecuente 🤢 ridiculoooooo,0
"@ElfiltradorCl Por Gil , le pasa 🤭",0
"@edorobi73 @Gonzalo98050470 Mi hermana me decia el otro dia : mi empleada dice que elste comunismo chileno es renovado...como se puede ser tan gil o tonta""",0
"@BarrioArellano esto es una broma? Donde está Soto? Extraordinario trabajo, ni se sintió la ausencia de Gil",0
@iROCKERLOU @bebecitadeerick Esk no es chistoso igual que lo que dije anterior gil,0
"@GaboTuitero Uno de mis mejores amigos, ya tiene treintimuchos y es de puro gil. Que el pinchazo, que los efectos adversos en el día de la vacunación, daños a largo plazo. 
Hace nada corté con él para pedirle que se vacuné. Yo estoy contagiada y no me pegó tan fuerte creo que por la 💉",0
"@ignaciomorgan Leo Gil me parece que es el más interesante, Bolados tb merece Mostrar la explosión q falta",0
@jonatanmarquez Jajajaja jajaja gil chanta lo de jadue tampoco larva podemita https://t.co/ySQ5v7MjGh,0
"@Joce_Molt Se le nota mucho. Y lo lamento por él, cabro inteligente, se puso gil",0
@sanguches No hay forma de reemplazar el pistoneo feroz de Gil,0
"@Che10Valenzuela El equipo anda con lo justo, aunque metieron dos fichajes buenos como Martín y Gil. La clave fue aguantar a Quintero.",0
@hinchmonumental @ANFPChile 20 fechas para falcón y 6 para gil,0
"@CrisBustamante9 Amigo el problema es de jugadores no de director tecnico mira morales perdiendose 4 goles y a costa con martin casi todo el partido perdidos.
Gil hizo falta y se notó.",0
"Cómo se extraña al Colo Gil 😢

#VamosColoColo
#CCSERxTNTSports",0
"@Jota__Ese Ojo que el año pasado las tomaba incluso con Matías en cancha. Y ahora, apenas llegado Gil, seguía (hasta que se hizo evidente).",0
Gil es el motor y corazon del equipo....no te creo que Rodriguez y Fuentes no sean capaz de generar juego.. #VamosColoColo,0
La voz de Gil Scott-Heron es la revolución.,0
"@HmabbeH @Cabra_de_pobla Si po, es como ""perriro tení google y cabales informativos en YouTube"", pero el gusto de quedar como gil es mayor.",0
"@Worges @sergio_perez_01 @AXELKAISER @ElMercurio_cl Muy típico de fanáticos de derecha.
Seguro eres uno de los discípulos del pastor Axel Kaiser que dirige la Iglesia de la fpp.
Anda a estudiar Gil, que cachai replicó.
Les dimos capote en la urnas y ahora lloras por la herida",0
@SISS_CHILE #SanidadPublica #pandemia #AguasAndinas Hasta cuándo!!!! Más de 1 mes sin solución,0
Hago un llamado a los vecinos de calles Varsovia y Ecuador en #loprado que viralicen está situación https://t.co/MZdYIlhkna,0
"CINCO CRONISTAS CHILENOS Visiones sobre el panorama de la crónica en Chile, con sus protagonistas y matices. Daniel Rozas entrevista a Alejandro Zambra, Francisco Mouat, Roberto Merino, Antonio Gil y Leonardo Sanhueza. 139 pgs.$6.000. Pídelo: DM o contacto@cincoases.cl https://t.co/E9RjQyITIj",0
"@latercera @pulso_tw Por si acaso no hablan de Chile, para que no hagan el loco, como el gil que escribió “qiebren”.",0
estamos en un condominio de tOwN hOuSeS en maipú y parece Melrose Place pero con autos blancos asiáticos y guaguas gordas.,0
"Podria quedarse con su amiga gordis , no hara falta https://t.co/DoxT2klAhs",0
"@gunzpv Lo digo en buena onda, gordis. 💔",0
"Para variar está la embarrada con las famosas ""tómbolas"" de las colegios... Vayan a llorarle a la ""Gordis"" Bachelet, eso y mucho más se vendría con el Epidemia!!!",0
"@ChristianEspe21 jajajjjjjjjjjjjjjjjjjjj 
NUEVA ORDEN MUNDIAL😝😂😜☺️😝😂
DICE LA GUATONA GRASOSA QUE NADIE TIENE QUE TENER CASA PROPIA ?
GORDA PICANTE !!!
ELLAS ROBAN
Y SE DROGAN 😏😫😫😫😜☺️😝😂😂😂😂😂😂",1
"va a buscar instrucciones pa seguir.💩 Chile🇨🇱.
🙈🙈😡 q tiene q ir a ver a ese Papa comunista q tiene un BCO q lava  el dinero de  todos los corruptos del mundo
⤵️
q hace el Vaticano con un Bco ???? y tb ver a la Guatona CDSM hp  del FPMR https://t.co/IH5gR5ck8B",0
Almorcé una empanada de queso y después ando llorando porque me siento guatona 🤡,0
Voy a estar más guatona cuando llegue mi pedido de starken y no me va a quedar buena la weaaaaaaaa 🥺,0
"Que no falte un pelotudo millenial en un tuit serio, y con el mismo argumento repetido, fome, lo único que tienen. Por suerte han subido el nivel, 🤭antes era ""vieja guatona cu..."" así con la ""juventuuusss"" de hoy https://t.co/ynduS73W5H",0
@segonzalezg Les falto el reggaeton venereo de Hija de Perra ☝️,0
Vayan a vacunarse hijos de la perra,0
"No pueden no ganarle a este equipo, hijos de la perra",0
@Diewitro bora hijos de perra,0
@Daruk_22 Oye feo conchetumare que culpa tiene el hincha ¿? No está en manos de nosotros cara de weon… En cambio ustedes han trapeado con la historia de su club y los jugadores en la cancha para qué decir 😂 Ni en cancha ni en la calle dan la talla muertos hijos de perra.,0
"FINIQUITEN A TODOS LOS KLOS Y JUGUEMOS CON JUVENILES WEON, YA ESTAMOS DESCENDIDOS PARA QUE SEGUIMOS REGALANDO PLATA.  

HIJOS DE PERRA @JavierCortesPh @RGonzalezCamus",0
"@KarolCariola @Orrego @karina_ol Con razón NO TE JOTEA NADIE, hueles a podrido.",0
"@derechaazul ""no lo digo yo, lo dicen los sionistas""😂😂😂😂
Sigue tu camino pobre wn ignorante 😂😂😂",0
"@PolentaPaulo @luxose @Cooperativa Ah ya. Pobre ignorante que informa por Youtube y memes.
Con idiotas no discuto.
Saludos",0
@BudSpen20006088 @plfchile @danieljadue Que bueno que averiguaste que existen sanciones y bloqueo 👏👏👏 aprendiste algo nuevo hoy pobre y triste weon ignorante 😂😂😂,0
@CsarAntoniovar3 Baja el twitter...estás quedando como ignorante,0
@sccristiano @paeguiguren @Cadem_cl #YoMeVacuno ignorante de mi DBR1 https://t.co/xxrECe4drO,0
"@jorgeuy117 Puedo apostar que te vacunaste sin saber tu DRB1 como todo el.mundo ignorante y creyente de una vacuna que lleva menos de un año y salió sólo por emergencia, no por aprobación.",0
"@KarinLevicoy Jajaja, ignorante nunca, la única ignorante e insidiosa eres tú, pero no pierdo mi tiempo con simios limitados de mente",0
"@EPatricioPlaza9 @SOSECO2012 @Max19094064 @SalvadorQuishpe @LassoGuillermo Pero si el mononeuronas eres tú, aparte que destilas odio. Hablas de tener criterio propio sin embargo repites lo que hasta el más ignorante repite...ustedes pusieron a gobernar a Moreno ¡¡y con trampas!!, ahora se lavan las manos como Poncio Pilato...ten un mínimo de decencia.",0
"@carlomagno111 @Anchebiondi Hay que ser bien tarado para pensar eso encima defendían el libre mercado, ese que hace que tengas tus cosas de marca y gustitos caros y pero como prefieres al ignorante Castillo, jódete porque hasta sin trabajo te vas a quedar.",0
"@opinador1984 Asististe a lenguaje,te suena que es metáfora 😂😂estudea ignorante!!!!!!😂😂😂😂",0
@segbruce @lauratips Castro es un ignorante igual que Oliva,0
"Oye pero este loco es tonto??? De que estás hablando??? En e banco por DAP a 90 días te pagan casi 0. Por dios esta gente no es ignorante, realmente tiene capacidades limitadas 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️ https://t.co/dxjHuuXwAw",0
"@Karinguzm Como les dije ayer , a primera hora voté por el menos malo .
Deseo y es mi anhelo poder contribuir con mi voto, que no salga Karina, una pobre ignorante y comunista.
Deseo mi país libre de esta lacra .
@Ejercito_Chile 
@Armada_Chile 
@Orrego 
@FACh_Chile",0
"@alburquismo @FariasCozzi @LuisMesina1 ""libertad de manifestación"" ni sabes lo que es la manifestación y menos lo que es libertad.
Tu libertad termina donde comienza la mia.
Puedes manifestarte todo lo que quieres, pero el momento que impides mi libre desplazamiento lo transformas en un acto violento.
Ignorante,.",0
@Orrego Por favor vayan a votar para que no salga la ignorante,0
@Mister_Wolf_0 Carol Bown es demasiado ignorante o mala fe,0
"@PiensaPrensa @Mister_Wolf_0 Que terrible Carol Bawn, no se cansa de aparecer ignorante, primero del agua y ahora las afp. 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️",0
"@CNNChile Acá en realidad se trata de ser de izquierda o ser retrasado mental.

Quien vota por la ignorante Oliva no es de izquierda.......es retrasado. 

Ojalá los izquierdistas no retrasados voten por el Orrego.....mal menor.",0
"A esta tipa, alguien le paga para...
O es una ignorante...
O ambas cosas.

yo creo que todos esos ""parásitos"" que defienden el modelo, a costas de mentiras o del abuso de elementos del discurso, están pagados. No veo otra. https://t.co/mqoPL0mBaE",0
@tatty1977 @karina_ol No tiene neuronas en la cabeza esta loca de patio con razón es tan similar a la naya facil 🤦🏽🤦🏽csm lo peor de todo que gente cómo está ignorante postule como gobernadora 🤬impresentable,0
@eldesconcierto Este es un tonton  y más  encima  ignorante,0
"@ChillanejaD Disculpen, el ignorante de Manuel Prieto es???? que ha aportado al país???? algún blog, youtube donde nos de clases de mercado de capitales???",0
"@juanperilla @clabarra01 @SilvanaNHR Lo más ignorante e irrisorio q he escuchado en el día 🤦🏽‍♀️. Se llenan la boca con justicia social, democracia y empatía, son términos q no conocen ni practican, solo velan por su ideología.",0
Que es rico el mango y que ignorante me sentí de no saber que tiene cuesco 😅,0
@tere_marinovic @tere_marinovic es tirana...lobo con traje de oveja...déspota...siembra odio...ofende a medio mundo sin límites pero cuestiónala y te bloquea...SIMPLE PROFESORA sin post grado ni nada y CREE DIOS...típico de la derecha IGNORANTE...y soy de derecha...que tal?,1
"@jresas Molecular? Pero si los de derecha son gente re ignorante, re cavernicolas, para qué ocupan terminologías q no entienden? XD",1
@NdolfoRo Ya me explicaron muy en buena que sí existen las Mypes. Puedo darme el lujo de ser ignorante una vez al año siquiera 😊,0
@jorandau Tontona zurda y debe ser igual de ignorante q su candidata.,0
"@danielstingo También dijiste que no te importaba que la bolsa cayera , tan ignorante eres ???",0
@MisakiJuan @jdoedoe101101 El unico bobo ignorante es usted. INFORMESE!,0
"@Rodolfo_Lopez_E @007Artemisa Además, el traidor de Piñera nos encierra con cuarentena total. La TV aterroriza a la gente cada segundo ¿cuántos crees que votarán? Los jóvenes adoctrinados zurdos y algunos DC; todo está dado para que gane la ignorante, la títere de Jadue.
Deberíamos aprender de la Historia.",0
"A gobernar con cuidado de la mano negra que esta en latinoamericana, (EE.UU). La ignorancia de otros, sacar a una lacra para que no salga comunismo? Eso lo implantó estados unidos a los países y su gente y la más ignorante(que es mucha) siguió esa doctrina. https://t.co/0WwgEF2dA3",0
@martivalen @jalessandri @porchilelindo Y eso no pasó con 6 millones de trabajadores y los 3 retiros?? Por favor!!! Ese cuento anda a contárselo a un weon ignorante!!,0
@daniel_nunez_a Pero ladrón ignorante !! Los eligieron para escribir la constitución!!! Nada más !!!,0
"@CoquetaMidv @danielstingo Ese  ignorante de @danielstingo quiere poner reglas? Por eso el comunismo ha fracasado en todo el mundo, viven de eslóganes destructivos, solo generan pobreza y desigualdad, seria bueno que estudiara y se preparara antes de hablar imbecilidades",0
"@kommunitska @jacobino_rojo JAJAJAJAJAJA lee el estudio y deja de repetir weas ignorante ql, ya me estresaste",0
"@PabloSrCasual @CaceresJoo Y q salga esa mujer rasca, sesgada, ignorante??
Omg!!!",0
"@mvaleraes Es verdad que es suficiente de las cuarentenas,  pero decir plandemia... y bozal a las mascarillas, es de idiota e ignorante",0
"@kommunitska @jacobino_rojo no estás entendiendo parece, reitero, mala comprensión lectora, en algún momento he dicho que la conciencia de clase no es importante? no, danilo fue quien dijo que la perspectiva de género no era necesaria y tú también, eso es falso y bordea lo ridículo e ignorante",0
"@HerreraNegre Si esta buscando un ideal de candidato le comunico que no existe son todos seres humanos imperfectos si es que todavia no lo sabe.
En USA 
Trump un racista capitalista
Biden un sicopata corrupto
En peru
Una corrupta contra un campesino ignorante
Solo por dar algunos ejemplos.",0
"@AndresVaN79 @milalucg Yo mismo tapé mi Rut, no sea ignorante. El Rut de la Cami lo dejé visible porque ella misma publicó su Rut.",0
"@DFinanciero @pablolirar Impactante como de algo no solo bueno sino que excelente, pueden hacer tanto comentario tonto, ignorante y resentido. 🙄",0
@FontirroigPablo @julysolisc Que ordinaria la mascarilla y el flote igual se nota que es un ignorante 💩,0
"@jalessandri Quiero mi 100% protegido de la izquierda ignorante, indolente, cortoplacista, populista, fracasada e improvisadora.",1
@MarioParra89 @jo_araos Jajja cambios con una ignorante que ni siquiera sabe a qué postula .... jajajajjajajaakJAAJAJAJAJAJJAKAJA,0
@CarlosRafa07 @RamnAri71543578 @fpetrocelli Hay que ver que tu si eres ignorante. Cuando un país es una potencia en futbol su cultura se hereda en generaciones. Además tiene 15 copas América como no van a exigirle que clasifiquen en Suramerica si dominan la región. Usa el cerebro que por pensar no t cobran,0
"@alferdez Que ignorante que eres, que clase de educación recibiste, si con esa cara que tienes no tienes para nada de europeo, solo tienes cara de simio, ignorante. Disculpen a los simios si los ofendí 😎.",1
"-¿No tenía @elfrente_amplio una mejor candidata?
-¿A qué obedece esta verdadera obsesión por mantener a una candidata ignorante, inepta, mediocre?
-¿Cómo tan idiota de exponer a su hija, para qué?

De verdad, cuesta entender... https://t.co/mcq9WqkpGp",0
@KarolCariola @Orrego @karina_ol Con los pasados a culo !!  Y ?? Eso la hace menos ignorante?,0
@_k_a_d_a_v_r_a_ @DrEnriqueParis @FranitaAravena eres un soberano imbecil ignorante,0
@YodaZurdo @jgalemparte Que ignorante más grande !!!,0
"@DomingoGodoy @karina_ol Karina Oliva va a la segunda vuelta este Domingo con Orrego por la Gobernación de la Región Metropolitana de Santiago, espero que todos vayan a votar para frenar a esta comunista ignorante.",0
"@xdulcita Si, he peleado con varias personas de mi trabajo por lo mismo... pero esa gente ignorante no tiene arreglo.",0
"@T13 Sabrá Orrego que no tendrá atribuciones para actuar en seguridad, ni para llevar a acabo sus ""propuestas concretas"", que serán atribución del delegado presidencial como coordinador de las SEREMI? Ignorancia o tratar de hacer parecer ignorante al otro para no cambiar tu campaña?",0
@LuigiTwit @mmlagoscc Lo que es ser cabro chico y no saber de dónde salen las cosas. Estamos jodidos con gente tan ignorante. Seguro antes Chile era el Maná en la tierra. 🤣🤦🏻‍♀️,0
"@nataliacuevasg @Orrego @karina_ol No sabe, se cree que postula a presidenta.
Y no conoce los temas que le tocará enfrentar. Ve las entrevistas que le han hecho. Es una ignorante.

Y para ella todo es abuso patriarcal.",0
en fin pura gente ignorante que no sabe lo que es manejar un pais https://t.co/CA5uakJNtX,0
"Ya chiquilles 🤣🤣🤣.
Repitan conmigo.
“Este domingo votaremos por el mal menor”
🤣🤣🤣🤣🤣.
Si ya sabemos que Orrego es un Pintamonos, pero la alternativa es una ignorante.
Vamos que se puede, muevan sus nalgas el domingo.",0
@KFT1980 Chiste racista e ignorante lvl mis universo,0
@lopezdoriga Que tipo más ignorante y con un lenguaje discriminatorio de los pueblos originarios y además él se cree migrante europeo… picante de mierda europeista… se la cree de verdad …. Jaajajaj no le alcanza ni para comprar las vacunas que necesita …,1
"@Frank36700395 @gretelcarranza2 @ONPE_oficial Ya idiota, explicame el comunismo o no mejor dime que es un congreso dividido en el perú. No sabes ni eso, castillo no solo gobierna el Perú. Y asi hablas de ignorante? Informate y ni sigas repitiendo lo que dicen los demas. Tarado",0
@Ferur4 @QuimicoTI Cállate típico de progre ignorante,1
"@Cooperativa Obvio que lo defiendo... pese al ninguneo de tanto ignorante, ha sido la etapa más exitosa del Pais....",0
"@Platikasep La candidata Oliva no opina tonteras porque sea ignorante, opina tonteras porque derechamente es imbecil. Buscarle el ajuste a sus respuestas es absurdo.",0
"la bestia más peligrosa del mundo, el ignorante con poder de RR, ahí estamos",0
